Wavelength(nm)	n	k
187.88	0.995	1.13
189.31	1.0043	1.1494
190.77	1.012	1.16
192.25	1.0195	1.1681
193.75	1.028	1.18
195.28	1.0375	1.1944
196.83	1.048	1.21
198.4	1.0596	1.2256
200	1.072	1.24
201.63	1.0848	1.2513
203.28	1.098	1.26
204.96	1.1116	1.2656
206.67	1.125	1.27
208.4	1.1372	1.275
210.17	1.149	1.28
211.97	1.1614	1.2853
213.79	1.173	1.29
215.65	1.1819	1.2928
217.54	1.19	1.295
219.47	1.1991	1.2975
221.43	1.208	1.3
223.42	1.2157	1.3025
225.45	1.223	1.305
227.52	1.2307	1.3072
229.63	1.238	1.31
231.78	1.244	1.3147
233.96	1.25	1.32
236.19	1.2572	1.325
238.46	1.265	1.33
240.78	1.2734	1.335
243.14	1.282	1.34
245.54	1.2897	1.3456
248	1.298	1.35
250.51	1.3086	1.3506
253.06	1.32	1.35
255.67	1.3311	1.35
258.33	1.343	1.35
261.05	1.3569	1.3513
263.83	1.372	1.35
266.67	1.3875	1.3413
269.57	1.404	1.33
272.53	1.4223	1.3219
275.56	1.441	1.31
278.65	1.4592	1.2881
281.82	1.476	1.26
285.06	1.4901	1.2288
288.37	1.502	1.19
291.76	1.5136	1.143
295.24	1.519	1.08
298.8	1.5194	0.9888
302.44	1.496	0.882
306.17	1.4325	0.7611
310	1.323	0.647
313.92	1.1421	0.5509
317.95	0.932	0.504
322.08	0.7191	0.5544
326.32	0.526	0.663
330.67	0.3881	0.8186
335.14	0.294	0.986
339.73	0.2533	1.1207
344.44	0.238	1.24
349.3	0.2214	1.3453
354.29	0.209	1.44
359.42	0.1948	1.5338
364.71	0.186	1.61
370.15	0.1921	1.6419
375.76	0.2	1.67
381.54	0.1981	1.735
387.5	0.192	1.81
393.65	0.182	1.8788
400	0.173	1.95
406.56	0.1726	2.0294
413.33	0.173	2.11
420.34	0.1667	2.1863
427.59	0.16	2.26
435.09	0.1585	2.3294
442.86	0.157	2.4
450.91	0.1511	2.4788
459.26	0.144	2.56
467.92	0.1373	2.64
476.92	0.132	2.72
486.27	0.1303	2.7981
496	0.13	2.88
506.12	0.1299	2.9738
516.67	0.13	3.07
527.66	0.1301	3.1594
539.13	0.129	3.25
551.11	0.1244	3.3481
563.64	0.12	3.45
576.74	0.1193	3.5538
590.48	0.121	3.66
604.88	0.1255	3.7663
620	0.131	3.88
635.9	0.1361	4.0106
652.63	0.14	4.15
670.27	0.1401	4.2931
688.89	0.14	4.44
708.57	0.1443	4.5863
729.41	0.148	4.74
751.52	0.1459	4.9081
775	0.143	5.09
800	0.1426	5.2888
826.67	0.145	5.5
855.17	0.1519	5.7206
885.71	0.163	5.95
918.52	0.1799	6.1831
953.85	0.198	6.43
992	0.2126	6.6975
1033.33	0.226	6.99
1078.26	0.2354	7.3138
1127.27	0.251	7.67
1180.95	0.2874	8.0606
1240	0.329	8.49
1305.26	0.36	8.9538
1377.78	0.396	9.48
1458.82	0.4386	10.1144
1550	0.514	10.8
1653.33	0.6726	11.445
1771.43	0.844	12.2
1907.69	0.9879	13.155
2066.67	1.064	14.4
