Wavelength(nm)	n	k
206.64	1.422	1.306
208.38	1.427	1.31925
210.14	1.43	1.334
211.94	1.431	1.34925
213.77	1.432	1.364
215.63	1.435	1.376
217.52	1.438	1.388
219.44	1.44	1.403
221.4	1.442	1.418
223.4	1.447	1.42963
225.43	1.452	1.442
227.5	1.453	1.4595
229.6	1.454	1.478
231.75	1.458	1.49375
233.93	1.462	1.51
236.16	1.466	1.5295
238.43	1.47	1.55
240.75	1.474	1.56963
243.11	1.478	1.59
245.52	1.481	1.61163
247.97	1.484	1.636
250.48	1.487	1.66675
253.03	1.49	1.698
255.64	1.495	1.72463
258.3	1.504	1.748
261.02	1.523	1.76675
263.8	1.546	1.784
266.63	1.572	1.80338
269.53	1.598	1.822
272.49	1.624	1.8375
275.52	1.648	1.852
278.62	1.669	1.86775
281.78	1.69	1.882
285.02	1.717	1.89175
288.34	1.742	1.9
291.73	1.76	1.91
295.2	1.776	1.918
298.76	1.795	1.92038
302.4	1.812	1.92
306.14	1.823	1.91888
309.96	1.83	1.916
313.89	1.837	1.91138
317.91	1.84	1.904
322.04	1.834	1.89138
326.28	1.824	1.878
330.63	1.812	1.86825
335.1	1.798	1.86
339.69	1.782	1.85175
344.4	1.766	1.846
349.25	1.753	1.84525
354.24	1.74	1.848
359.38	1.728	1.85238
364.66	1.716	1.862
370.11	1.706	1.883
375.71	1.696	1.906
381.49	1.685	1.9225
387.45	1.674	1.936
393.6	1.666	1.94775
399.95	1.658	1.956
406.51	1.647	1.95938
413.28	1.636	1.958
420.29	1.628	1.95138
427.54	1.616	1.94
435.04	1.596	1.9245
442.8	1.562	1.904
450.86	1.502	1.87588
459.2	1.426	1.846
467.87	1.346	1.81463
476.87	1.242	1.796
486.22	1.087	1.79738
495.94	0.916	1.84
506.06	0.755	1.9565
516.6	0.608	2.12
527.6	0.492	2.32625
539.07	0.402	2.54
551.05	0.346	2.73063
563.57	0.306	2.88
576.68	0.268	2.94063
590.41	0.236	2.97
604.81	0.212	3.015
619.93	0.194	3.06
635.82	0.178	3.07
652.55	0.166	3.15
670.19	0.161	3.44581
688.81	0.16	3.8
708.49	0.161	4.08769
729.32	0.164	4.357
751.43	0.17	4.61019
774.91	0.176	4.86
799.9	0.181	5.12581
826.57	0.188	5.39
855.07	0.198	5.63125
885.61	0.21	5.88
918.41	0.222	6.16813
953.73	0.236	6.47
991.88	0.253	6.75313
1033.21	0.272	7.07
1078.13	0.291	7.485
1127.14	0.312	7.93
1180.81	0.339	8.40375
1239.85	0.372	8.77
1305.11	0.41	8.7575
1377.61	0.454	8.77
1458.65	0.503	9.20313
1549.81	0.559	9.81
1653.14	0.622	10.4575
1771.22	0.696	11.2
1907.46	0.785	12.03063
2066.42	0.896	13
2254.28	1.034	14.14438
2479.7	1.205	15.5
