Wavelength(nm)	n	k
190.77	0.958	1.37
192.25	0.9571	1.3922
193.75	0.9589	1.4146
195.28	0.9631	1.4369
196.83	0.9694	1.4593
198.4	0.9778	1.4816
200	0.9878	1.5037
201.63	0.9993	1.5257
203.28	1.0119	1.5474
204.96	1.0256	1.5689
206.67	1.04	1.59
208.4	1.0549	1.6107
210.17	1.07	1.631
211.97	1.0844	1.6506
213.79	1.1	1.67
215.65	1.1194	1.69
217.54	1.14	1.709
219.47	1.1594	1.7255
221.43	1.18	1.74
223.42	1.2044	1.7524
225.45	1.23	1.763
227.52	1.255	1.7718
229.63	1.28	1.78
231.78	1.305	1.7905
233.96	1.33	1.799
236.19	1.3553	1.8008
238.46	1.38	1.8
240.78	1.4028	1.8008
243.14	1.425	1.799
245.54	1.4484	1.7909
248	1.47	1.78
250.51	1.4859	1.7703
253.06	1.5	1.757
255.67	1.5172	1.7338
258.33	1.53	1.71
261.05	1.5297	1.6938
263.83	1.525	1.682
266.67	1.5231	1.6756
269.57	1.52	1.67
272.53	1.5131	1.6588
275.56	1.505	1.648
278.65	1.4988	1.6433
281.82	1.49	1.64
285.06	1.4738	1.6333
288.37	1.455	1.629
291.76	1.4378	1.6309
295.24	1.42	1.64
298.8	1.4003	1.6621
302.44	1.38	1.687
306.17	1.3584	1.7033
310	1.34	1.72
313.92	1.3291	1.7446
317.95	1.325	1.77
322.08	1.3325	1.7916
326.32	1.34	1.81
330.67	1.3344	1.8221
335.14	1.325	1.834
339.73	1.3178	1.8518
344.44	1.31	1.872
349.3	1.3003	1.8943
354.29	1.29	1.916
359.42	1.2816	1.9317
364.71	1.27	1.95
370.15	1.2491	1.9724
375.76	1.225	2.015
381.54	1.2	2.1216
387.5	1.18	2.21
393.65	1.1744	2.1772
400	1.175	2.13
406.56	1.1775	2.1601
413.33	1.18	2.21
420.34	1.1781	2.2499
427.59	1.175	2.289
435.09	1.1728	2.326
442.86	1.17	2.362
450.91	1.1653	2.3976
459.26	1.16	2.433
467.92	1.1553	2.4692
476.92	1.15	2.504
486.27	1.1428	2.5359
496	1.135	2.564
506.12	1.1316	2.5896
516.67	1.12	2.605
527.66	1.0924	2.5956
539.13	1.04	2.583
551.11	0.9504	2.5765
563.64	0.826	2.599
576.74	0.6459	2.6781
590.48	0.468	2.809
604.88	0.3513	3.0108
620	0.272	3.24
635.9	0.2308	3.4582
652.63	0.214	3.67
670.27	0.2093	3.8631
688.89	0.213	4.05
708.57	0.2163	4.2396
729.41	0.223	4.43
751.52	0.2365	4.6196
775	0.25	4.817
800	0.2542	5.0341
826.67	0.26	5.26
855.17	0.28	5.4856
885.71	0.3	5.717
918.52	0.3063	5.9534
953.85	0.31	6.206
992	0.3163	6.4833
1033.33	0.33	6.793
1078.26	0.3642	7.1468
1127.27	0.4	7.542
1180.95	0.4144	8.1166
1240	0.433	8.46
1305.26	0.4822	7.9111
1377.78	0.536	7.36
1458.82	0.5701	7.6694
1550	0.606	8.26
1653.33	0.6584	8.7919
1771.43	0.723	9.41
1907.69	0.7976	10.1394
2066.67	0.89	11
2254.55	1.0057	12.0131
2480	1.15	13.2
